year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
2005.0,R,116.0,"Comedy, Romance",Comedy,7.1,73.0,396569.0,109449237.0
2009.0,PG-13,113.0,Comedy,Comedy,5.5,23.0,101854.0,109205660.0
1995.0,PG-13,90.0,"Adventure, Comedy, Crime",Comedy,6.4,45.0,202837.0,108385533.0
2017.0,N-13,126.0,"Comedy, Drama",Comedy,7.0,46.0,46227.0,108252517.0
2001.0,G,111.0,"Comedy, Family, Romance",Comedy,6.3,52.0,129005.0,108248956.0
2011.0,PG,95.0,"Animation, Adventure, Comedy",Comedy,5.4,41.0,31366.0,108085305.0
1992.0,PG,128.0,"Comedy, Drama, Sport",Comedy,7.3,67.0,94213.0,107533928.0
2016.0,V,97.0,"Animation, Action, Adventure",Comedy,6.3,43.0,80633.0,107509366.0
1999.0,R,103.0,"Comedy, Crime",Comedy,6.7,61.0,146005.0,106885658.0
2000.0,PG-13,109.0,"Action, Comedy, Crime",Comedy,6.3,43.0,188634.0,106807667.0
2003.0,PG-13,116.0,"Comedy, Romance",Comedy,6.4,45.0,212212.0,105813373.0
2019.0,V,107.0,"Animation, Action, Adventure",Comedy,6.6,65.0,55443.0,105806508.0
1996.0,PG,103.0,Comedy,Comedy,6.4,58.0,43876.0,105489203.0
1997.0,PG,92.0,"Action, Adventure, Comedy",Comedy,5.5,53.0,71811.0,105263257.0
1967.0,PG,106.0,"Comedy, Drama, Romance",Comedy,8.0,83.0,254329.0,104945305.0
2017.0,N-13,93.0,"Comedy, Music",Comedy,5.8,40.0,56445.0,104897530.0
2003.0,R,96.0,Comedy,Comedy,6.3,43.0,194968.0,104565114.0
2009.0,V,97.0,"Animation, Adventure, Comedy",Comedy,7.1,73.0,124892.0,104400899.0
2003.0,PG,92.0,"Comedy, Family",Comedy,5.6,39.0,63935.0,104297061.0
2017.0,N-7,100.0,Comedy,Comedy,6.0,30.0,62861.0,104029443.0
