title,year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
Peliukas Stiuartas Litlis,1999,PG,84 min,"Adventure, Comedy, Family",Comedy,5.9,61,126094,140035367
The Rocky Horror Picture Show,1975,nan,100 min,"Comedy, Musical",Comedy,7.4,65,133415,139876417
Netikra vienuole,1992,PG,100 min,"Comedy, Crime, Family",Comedy,6.4,51,88436,139610000
Kaledu senis 2,2002,nan,104 min,"Comedy, Family, Fantasy",Comedy,5.6,48,51763,139236327
Urmu pigiau,2003,PG,98 min,"Comedy, Family",Comedy,5.9,46,94157,138614544
Pasele vyrukai 2,2003,R,147 min,"Action, Comedy, Crime",Comedy,6.6,38,232307,138608444
Nevykeliai po priedanga,2012,N-16,109 min,"Action, Comedy, Crime",Comedy,7.2,69,511725,138447667
Klik! Arba gyvenimas pagreitintai,2006,PG-13,107 min,"Comedy, Drama, Fantasy",Comedy,6.4,45,306561,137355633
101 dalmatinas,1996,nan,103 min,"Adventure, Comedy, Crime",Comedy,5.7,49,101690,136189294
Psichoterapija,2003,PG-13,106 min,Comedy,Comedy,6.3,52,203451,135645823
Viščiukas Cypsius,2005,V,81 min,"Animation, Adventure, Comedy",Comedy,5.7,48,86159,135386665
Vezliukai nindzes,1990,nan,93 min,"Action, Adventure, Comedy",Comedy,6.8,51,85567,135265915
Lopas Adamsas,1998,PG-13,115 min,"Biography, Comedy, Drama",Comedy,6.8,25,105636,135026902
Ilgas Pasivazinejimas,2014,PG-13,99 min,"Action, Comedy, Crime",Comedy,6.2,41,103612,134938200
Tapatybes vagile,2013,N-13,111 min,"Adventure, Comedy, Crime",Comedy,5.7,35,125199,134506920
Nebrendylos 2,2013,N-13,101 min,Comedy,Comedy,5.4,19,141112,133668525
Alvinas ir burundukai 3,2011,G,87 min,"Animation, Adventure, Comedy",Comedy,4.3,24,31640,133110742
Aukštyn kojom,2003,PG-13,105 min,Comedy,Comedy,5.6,39,35005,132716677
Optimisto istorija,2012,N-13,122 min,"Comedy, Drama, Romance",Comedy,7.7,81,663393,132092958
Rio 2,2014,V,101 min,"Animation, Adventure, Comedy",Comedy,6.3,49,80550,131538435
"Brangioji, aš sumažinau vaikus",1989,nan,93 min,"Adventure, Comedy, Family",Comedy,6.4,63,143433,130724172
Flinstounai,1994,PG,91 min,"Comedy, Family, Fantasy",Comedy,4.9,38,75968,130512915
Ieskokit Gudručio!,2008,N-7,110 min,"Action, Adventure, Comedy",Comedy,6.5,54,204476,130319208
Riešutėlių filmas,2015,V,88 min,"Animation, Comedy, Family",Comedy,7.1,67,42444,130178411
Išprotėjęs profesorius,1996,PG-13,95 min,"Comedy, Romance, Sci-Fi",Comedy,5.6,62,110160,128814019
Boratas. Kaip saunusis Kazachstano zurnalistas Amerikoj patirti graibste,2006,R,84 min,Comedy,Comedy,7.3,89,378690,128505958
Vaiduokliu medžiotojai,2016,N-13,117 min,"Action, Comedy, Fantasy",Comedy,6.5,60,204793,128344089
Kingsman. Slaptoji tarnyba,2014,N-16,129 min,"Action, Adventure, Comedy",Comedy,7.7,60,591721,128261724
Robotai,2005,V,91 min,"Animation, Adventure, Comedy",Comedy,6.3,64,133284,128200012
Kelione i Amerika,1988,nan,117 min,"Comedy, Romance",Comedy,7.0,47,172217,128152300
Gilyn i mišką,2014,N-7,125 min,"Adventure, Comedy, Drama",Comedy,5.9,69,132907,128002372
Užkeretoji,2007,V,107 min,"Animation, Comedy, Family",Comedy,7.0,75,177226,127807262
Centrines pajegos,2016,N-13,107 min,"Action, Comedy, Crime",Comedy,6.3,52,160291,127440871
Žiniu vedejas 2: legenda tęsiasi,2013,PG-13,119 min,Comedy,Comedy,6.3,61,169315,127352707
Mergina is Alabamos,2002,PG-13,108 min,"Comedy, Romance",Comedy,6.2,45,102796,127223418
Bukas ir bukesnis,1994,nan,107 min,Comedy,Comedy,7.3,41,353855,127175354
Mano geriausio draugo vestuvės,1997,PG-13,105 min,"Comedy, Drama, Romance",Comedy,6.3,50,130211,127120029
Šerifas ir banditas,1977,nan,96 min,"Action, Comedy",Comedy,7.0,50,45417,126737428
Bites filmas,2007,V,91 min,"Animation, Adventure, Comedy",Comedy,6.1,54,143121,126631277
Nemiegantys Sietle,1993,PG,105 min,"Comedy, Drama, Romance",Comedy,6.8,72,161184,126533006
Misteris Dydsas,2002,PG-13,96 min,"Comedy, Romance",Comedy,5.8,24,136594,126293452
Trumeno šou,1998,PG,103 min,"Comedy, Drama",Comedy,8.1,90,943598,125618201
Čarlio angelai,2000,PG-13,98 min,"Action, Adventure, Comedy",Comedy,5.5,52,176550,125305545
"Debesuota, numatoma mesos kukuliu kruša",2009,V,90 min,"Animation, Adventure, Comedy",Comedy,6.9,66,206000,124870275
Ir velnias devi Prada,2006,PG-13,109 min,"Comedy, Drama",Comedy,6.9,62,372742,124740460
Myleti(s) smagu,2003,N-7,128 min,"Comedy, Drama, Romance",Comedy,6.7,66,112221,124728738
Narvelis,1996,R,117 min,Comedy,Comedy,7.1,72,80099,124060553
City Slickers,1991,nan,113 min,"Comedy, Western",Comedy,6.8,70,48624,124033791
"Labas rytas, Vietname",1987,nan,121 min,"Biography, Comedy, Drama",Comedy,7.3,67,126294,123922370
Rango,2011,PG,107 min,"Animation, Adventure, Comedy",Comedy,7.2,75,237651,123477607
Išprotejęs profesorius 2: Klampu šeimynele,2000,PG-13,106 min,"Comedy, Romance, Sci-Fi",Comedy,4.4,38,48398,123309890
Gerasis dinozauras,2015,V,93 min,"Animation, Adventure, Comedy",Comedy,6.7,66,102534,123087120
Veino pasaulis,1992,PG-13,94 min,"Comedy, Music",Comedy,7.0,57,144516,121697350
Kietakiaušiai,2007,N-16,113 min,Comedy,Comedy,7.6,76,522289,121463226
Visados kaip pirma karta,2004,PG-13,99 min,"Comedy, Drama, Romance",Comedy,6.8,48,327913,120908074
Mamma Mia! Štai ir mes,2018,N-13,114 min,"Comedy, Musical, Romance",Comedy,6.6,60,80831,120634935
Ketverios Kaledos,2008,PG-13,88 min,"Comedy, Drama, Romance",Comedy,5.7,41,66324,120146040
O dabar jus skelbiu Čeku ir Lariu,2007,V,115 min,"Comedy, Romance",Comedy,5.9,37,141212,120059556
Kauke,1994,PG-13,101 min,"Action, Comedy, Crime",Comedy,6.9,56,347763,119938730
"Debesuota, numatoma mesos kukuliu kruša 2",2013,PG,95 min,"Animation, Adventure, Comedy",Comedy,6.4,59,91182,119793567
Kablys,1991,V,142 min,"Adventure, Comedy, Family",Comedy,6.8,52,235694,119654823
Liepsnojantys balnai,1974,nan,93 min,"Comedy, Western",Comedy,7.7,73,126417,119500000
G Burys,2009,PG,88 min,"Animation, Action, Adventure",Comedy,5.1,41,42896,119436770
Rezerviniai farai,2010,PG-13,107 min,"Action, Comedy, Crime",Comedy,6.6,64,243672,119219978
Lakas plaukams,2007,V,117 min,"Comedy, Drama, Musical",Comedy,6.6,81,120009,118871849
Išsiskyrimas,2006,PG-13,106 min,"Comedy, Drama, Romance",Comedy,5.8,45,125765,118703275
Neitiketinos Lemoni Sniketo istorijos,2004,N-7,108 min,"Adventure, Comedy, Family",Comedy,6.8,62,196564,118627117
Paciuzomis i slove,2007,PG-13,93 min,"Comedy, Sport",Comedy,6.3,64,158355,118594548
Atgal i ateiti II,1989,nan,108 min,"Adventure, Comedy, Sci-Fi",Comedy,7.8,57,483087,118500000
Big Momma's House,2000,PG-13,99 min,"Action, Comedy, Crime",Comedy,5.2,33,81060,117559438
Kaip atsikratyti boso?,2011,R,98 min,"Comedy, Crime",Comedy,6.9,57,422424,117538559
Jackass 3D,2010,R,95 min,"Documentary, Action, Comedy",Comedy,7.0,56,56849,117224271
Noting Hilas,1999,PG-13,124 min,"Comedy, Drama, Romance",Comedy,7.1,68,276551,116089678
Jums žinute,1998,PG,119 min,"Comedy, Drama, Romance",Comedy,6.7,57,195910,115821495
Triušis Piteris,2018,V,95 min,"Adventure, Comedy, Family",Comedy,6.6,51,35578,115253424
Merginų išvyka,2017,R,122 min,"Adventure, Comedy, Drama",Comedy,6.2,71,34466,115171585
Amerikietiški grafiti,1973,nan,110 min,"Comedy, Drama",Comedy,7.4,97,82008,115000000
Didelis,1988,nan,104 min,"Comedy, Drama, Fantasy",Comedy,7.3,73,199762,114968774
Kvadratas,2004,PG-13,92 min,"Comedy, Sport",Comedy,6.7,55,229683,114326736
Boltas,2008,V,96 min,"Animation, Adventure, Comedy",Comedy,6.8,67,190685,114053579
Laukiniai Laukiniai Vakarai,1999,PG-13,106 min,"Action, Comedy, Sci-Fi",Comedy,5.0,38,153346,113805681
Naktis muziejuje. Kapo paslaptis,2014,N-7,98 min,"Adventure, Comedy, Family",Comedy,6.2,47,107575,113746621
Magiskasis Maikas,2012,N-16,110 min,"Comedy, Drama",Comedy,6.1,72,131678,113721571
Adamsų šeimynėlė,1991,nan,99 min,"Comedy, Fantasy",Comedy,6.9,57,137529,113502000
