index,year,certificate,length,category,rating,metascore,total_votes,US_box_office,index,first_genre,second_genre,third_genre
111,2015.0,PG,92.0,Comedy,6.0,62.0,49607.0,162994032.0,92,Animation,Action,Adventure
114,1998.0,PG-13,90.0,Comedy,6.2,41.0,149316.0,161491646.0,93,Comedy,Sport,
115,2012.0,V,88.0,Comedy,6.5,49.0,192502.0,161321843.0,94,Animation,Adventure,Comedy
116,2004.0,PG,90.0,Comedy,6.0,48.0,167400.0,160861908.0,95,Animation,Adventure,Comedy
119,2019.0,V,86.0,Comedy,6.5,55.0,50054.0,158874395.0,96,Animation,Adventure,Comedy
120,2005.0,PG-13,113.0,Comedy,6.4,48.0,162947.0,158119460.0,97,Comedy,Crime,Sport
121,2000.0,R,88.0,Comedy,6.2,48.0,232730.0,157019771.0,98,Comedy,,
123,2006.0,V,83.0,Comedy,6.7,67.0,160274.0,155019340.0,99,Animation,Adventure,Comedy
124,2008.0,V,86.0,Comedy,6.8,71.0,129917.0,154529439.0,100,Animation,Adventure,Comedy
125,1996.0,R,139.0,Comedy,7.3,77.0,243635.0,153952592.0,101,Comedy,Drama,Romance
126,2016.0,V,92.0,Comedy,6.5,55.0,72702.0,153707064.0,102,Animation,Adventure,Comedy
128,2002.0,PG,89.0,Comedy,5.1,35.0,100005.0,153288182.0,103,Adventure,Comedy,Family
129,2017.0,V,102.0,Comedy,6.7,59.0,77142.0,152901115.0,104,Animation,Adventure,Comedy
130,2008.0,R,145.0,Comedy,5.6,53.0,116259.0,152647258.0,105,Comedy,Drama,Romance
131,1999.0,PG,116.0,Comedy,5.6,39.0,93146.0,152257509.0,106,Comedy,Romance,
132,2016.0,N-13,128.0,Comedy,8.0,94.0,508437.0,151101803.0,107,Comedy,Drama,Music
133,2013.0,N-16,110.0,Comedy,7.0,44.0,405368.0,150394119.0,108,Comedy,Crime,
134,2015.0,N-7,96.0,Comedy,6.2,42.0,109100.0,150357137.0,109,Comedy,Family,
136,2011.0,PG,90.0,Comedy,6.6,65.0,144799.0,149260504.0,110,Animation,Action,Adventure
137,2007.0,R,129.0,Comedy,6.9,85.0,351347.0,148734225.0,111,Comedy,Romance,
138,1997.0,PG-13,139.0,Comedy,7.7,67.0,276489.0,148478011.0,112,Comedy,Drama,Romance
139,2010.0,V,95.0,Comedy,7.2,63.0,229300.0,148415853.0,113,Animation,Action,Comedy
140,2010.0,PG-13,98.0,Comedy,5.5,27.0,106843.0,148383780.0,114,Comedy,Romance,
141,2012.0,N-7,91.0,Comedy,7.1,47.0,225263.0,148313048.0,115,Animation,Comedy,Family
142,2006.0,PG-13,108.0,Comedy,6.6,66.0,168066.0,148213377.0,116,Comedy,Sport,
144,1994.0,R,141.0,Comedy,7.2,63.0,238371.0,146282411.0,117,Action,Comedy,Thriller
145,2020.0,PG,99.0,Comedy,6.5,47.0,89689.0,146066470.0,118,Action,Adventure,Comedy
146,2002.0,PG,85.0,Comedy,7.2,73.0,169172.0,145794338.0,119,Animation,Adventure,Comedy
147,2001.0,R,108.0,Comedy,6.4,43.0,240496.0,145103595.0,120,Comedy,,
149,1994.0,PG,97.0,Comedy,6.5,57.0,100832.0,144833357.0,121,Comedy,Drama,Family
150,1998.0,PG-13,85.0,Comedy,5.4,46.0,91553.0,144156605.0,122,Comedy,Family,Fantasy
151,2008.0,PG-13,108.0,Comedy,6.4,51.0,216851.0,144130063.0,123,Comedy,Musical,Romance
152,2019.0,N-7,104.0,Comedy,6.6,53.0,138615.0,144105346.0,124,Action,Adventure,Comedy
153,2011.0,V,96.0,Comedy,6.9,63.0,206956.0,143619809.0,125,Animation,Adventure,Comedy
154,2016.0,V,95.0,Comedy,7.1,66.0,135172.0,143528619.0,126,Animation,Action,Adventure
155,2007.0,PG-13,96.0,Comedy,7.4,81.0,491953.0,143495265.0,127,Comedy,Drama,
156,2008.0,N-7,111.0,Comedy,7.1,53.0,147274.0,143153751.0,128,Comedy,Drama,Family
157,2011.0,V,103.0,Comedy,5.4,30.0,84064.0,142614158.0,129,Animation,Adventure,Comedy
158,2019.0,N-16,161.0,Comedy,7.6,83.0,556870.0,142502728.0,130,Comedy,Drama,
